POW(20.379451178462922,77.3964080821438)=2.12224620869388e+101
POW(0.20132554867085894,83.69926023935732)=5.4557210120718245e-59
POW(34.956701526757215,98.58409381322912)=1.470788851948192e+152
POW(93.0917301303103,61.9028121360787)=7.605609960809779e+121
POW(29.878380074013076,98.59929641308761)=2.9455529969162004e+145
POW(41.8823706907378,44.319472373762956)=7.719149522514167e+71
POW(85.19352757952574,71.393092145871)=6.571982006194589e+137
POW(23.69145224832142,64.29872484175701)=2.4237755566304027e+88
POW(80.26433888264323,65.6155041181469)=9.25151079976655e+124
POW(66.13049670430848,0.02788686954820059)=1.1239974011875642
POW(86.94023980728215,62.355642259335674)=8.343736348450737e+120
POW(83.6243903077305,56.543285823837884)=4.954755808748552e+108
POW(72.50711289048752,47.423788739888664)=1.6838257551281463e+88
POW(98.83445066097056,55.14750613768309)=1.0332861924626027e+110
POW(81.45544023680995,70.1790069382103)=1.2778345345138306e+134
POW(40.60605033890026,98.65355563668001)=4.933974733808574e+158
POW(83.44609321482666,3.8366755143406843)=23540267.114772342
POW(24.746514385879276,60.01038669735301)=4.2200361315863393e+83
POW(87.41566188905753,74.75673209379845)=1.402385522648395e+145
POW(40.17643799200664,37.944801179735364)=7.284118583430094e+60
POW(77.67350877043154,2.0313300663517952)=6914.618509358374
POW(45.65481064070885,90.20272971542987)=4.900228813649659e+149
POW(61.43098195897746,37.59190938234053)=1.6939447512302483e+67
POW(44.92658256216244,63.39118510939098)=5.677379535366353e+104
POW(70.62204879342991,28.10297700853796)=9.13539004588824e+51
POW(72.9606057250025,76.34513118726403)=1.7287439344092788e+142
POW(79.6245819795147,70.58814011389852)=1.5537590486444667e+134
POW(8.301593548130539,52.70277540700463)=2.7692382130883397e+48
POW(7.480562563319176,63.22509868815168)=1.797131279304683e+55
POW(99.13291193540489,18.381697724824097)=4.941665639923953e+36
POW(89.97719720772032,81.9096477338509)=1.1542542589959039e+160
POW(91.84524134979321,76.7565991548091)=4.759410329290317e+150
POW(91.03076004299052,46.52530381304405)=1.4184851069054195e+91
POW(8.882584193728936,20.489979374736368)=27261601308292575232
POW(45.74926046533226,68.00255012766053)=8.134886590950444e+112
POW(0.15023963681427246,66.60239012195625)=1.4855312230775268e-55
POW(94.55389494474846,78.20052509389578)=3.156227688339859e+154
POW(80.41927572296463,74.50873595250853)=9.246489125662767e+141
POW(86.55488562965188,81.25714965619065)=2.6229644258868946e+157
POW(72.69541704563251,90.98309290853983)=2.3209579813280907e+169
POW(98.93978744080478,77.88703740168337)=2.5913949292285247e+155
POW(74.58695201334548,95.65901689101631)=1.371160102283588e+179
POW(77.58880581777423,20.431991749882204)=4.0959906685640296e+38
POW(1.9828939681939124,2.565437645915657)=5.790329900281409
POW(35.422560161320156,54.658790232370116)=4.8058212211924744e+84
POW(16.60436050792954,64.79209194824092)=1.1501275399756305e+79
POW(44.818515873712514,86.78804860405678)=2.122126525568946e+143
POW(52.57432771534244,99.4867476979738)=1.5638018266496972e+171
POW(7.983090264999565,82.61511139957771)=3.4116224290717627e+74
POW(64.46672297216342,35.658651855929236)=3.2996513165694846e+64
POW(38.43478881830319,45.507871802478746)=1.3105070151464124e+72
POW(50.1438419352832,51.90133637970236)=1.752128190335836e+88
POW(8.385748885949798,82.70781491030303)=2.421746349830088e+76
POW(67.28824523176552,19.04182579019503)=6.41652445673749e+34
POW(71.47581567195958,5.969317774629734)=116967442193.20416
POW(2.262331980346007,1.1276729527986826)=2.5108663066876957
POW(52.37826847807062,51.96643795460689)=2.1785168170407365e+89
POW(49.2526832987901,92.69928209041338)=7.709679834586728e+156
POW(76.02520814467552,52.27214823488462)=2.0974683854860224e+98
POW(40.8484726152391,91.81449986436513)=8.497717991163627e+147
POW(11.83078649329829,55.349281711102584)=2.4577231411883916e+59
POW(84.09449722642375,47.25086284015172)=8.849706072087475e+90
POW(48.756198014424804,61.77086070956136)=1.8666188082933776e+104
POW(59.765740123760395,71.25716020630828)=3.845442193364455e+126
POW(78.60584792183107,17.74371347188861)=4.28951190942823e+33
POW(56.46093756549243,76.23761689297785)=3.540784056101884e+133
POW(56.962827716745345,9.02725145329923)=7049629330241583
POW(65.00920575149567,38.815167928661)=2.349219757949242e+70
POW(92.32558161548903,75.91943554376026)=1.6074625591606975e+149
POW(76.52778715994754,77.765733635143)=3.1374634570602262e+146
POW(45.170982402072035,63.0935282781432)=2.575887706106112e+104
POW(66.7058560069358,32.529364457502524)=2.1821989314267685e+59
POW(34.10968994775217,91.21376697928889)=6.600181525291284e+139
POW(66.93826019051876,49.44432004300328)=1.8587900201911195e+90
POW(98.02727712690958,98.39477835143224)=8.672428683182054e+195
POW(49.148562361128285,87.5719970841247)=1.345799915443861e+148
POW(63.36295028357366,51.50113200020612)=6.259826406902625e+92
POW(31.18607157238948,56.04979399282982)=5.447382331477848e+83
POW(6.917870535635916,27.084061086625976)=5.6216604362632675e+22
POW(36.76472243228546,48.16248542520288)=2.4834862477061996e+75
POW(75.92341253343294,55.23957186641499)=7.432753448631445e+103
POW(50.2767515060524,22.6295006860931)=3.1702274887488484e+38
POW(8.378759321299922,12.492357960266377)=340950607280.6956
POW(45.92954522464189,69.95406076925065)=1.8624942123160724e+116
POW(69.02157325961042,2.5780700701595096)=55084.8044775631
POW(73.91675209384093,43.61258277095788)=3.1674031511122956e+81
POW(2.7084448465263495,47.29904957640488)=293254412322914336768
POW(34.897247834892276,11.77454113696554)=1464394834270477056
POW(57.05560667174049,29.41508984343464)=4.588524951051891e+51
POW(71.4941829989769,41.42992621837229)=6.641995934415949e+76
POW(71.99267692747962,3.919581094675423)=19045491.979765274
POW(23.36155934512129,47.186284907848915)=3.7541977526145494e+64
POW(37.56279344961516,67.36612183289334)=1.2171142517467454e+106
POW(2.4648509995686827,50.82133145469457)=81531149524810563584
POW(69.83602839329801,53.87760188068198)=2.262470413209737e+99
POW(52.66608126499763,80.97594865068945)=2.5270058986075527e+139
POW(15.504669219011197,22.42096012481059)=4.912610833993155e+26
POW(21.306915814343586,18.388749547480025)=2.6904962874484183e+24
